,4,1,0,2,3,5,6,8,7
EXOSC10,36.0,123.0,198.0,9.0,37.0,18.0,19.0,5.0,0.0
MTOR,31.0,34.0,92.0,15.0,32.0,7.0,6.0,1.0,1.0
ANGPTL7,1.0,46.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0
UBIAD1,26.0,36.0,75.0,8.0,21.0,6.0,16.0,1.0,1.0
FBXO2,2.0,6.0,2.0,2.0,1.0,3.0,0.0,4.0,0.0
FBXO44,4.0,24.0,10.0,6.0,3.0,7.0,3.0,1.0,0.0
FBXO6,17.0,44.0,67.0,26.0,49.0,6.0,0.0,0.0,3.0
MAD2L2,25.0,92.0,147.0,47.0,52.0,26.0,12.0,3.0,3.0
AGTRAP,52.0,229.0,293.0,39.0,335.0,57.0,12.0,2.0,4.0
C1orf167,9.0,17.0,20.0,16.0,2.0,0.0,3.0,1.0,3.0
MTHFR,91.0,60.0,236.0,15.0,81.0,10.0,19.0,3.0,2.0
CLCN6,12.0,37.0,44.0,3.0,20.0,2.0,3.0,1.0,2.0
NPPA,3.0,1.0,23.0,3.0,6.0,0.0,0.0,0.0,0.0
KIAA2013,80.0,159.0,286.0,33.0,93.0,26.0,22.0,7.0,2.0
PLOD1,80.0,822.0,474.0,35.0,78.0,19.0,62.0,0.0,1.0
MFN2,46.0,32.0,124.0,53.0,46.0,4.0,11.0,0.0,3.0
MIIP,18.0,42.0,67.0,48.0,65.0,8.0,14.0,5.0,5.0
TNFRSF8,37.0,2.0,35.0,2.0,15.0,0.0,2.0,0.0,0.0
TNFRSF1B,192.0,55.0,502.0,16.0,1033.0,122.0,18.0,19.0,3.0
VPS13D,73.0,69.0,264.0,19.0,83.0,16.0,10.0,1.0,2.0
DHRS3,166.0,366.0,637.0,69.0,46.0,12.0,35.0,1.0,7.0
LRRC38,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,2.0
PDPN,3.0,144.0,16.0,12.0,0.0,0.0,7.0,0.0,3.0
PRDM2,68.0,147.0,379.0,38.0,127.0,80.0,30.0,26.0,6.0
KAZN,23.0,46.0,128.0,7.0,5.0,1.0,12.0,0.0,1.0
TMEM51,40.0,6.0,84.0,2.0,20.0,0.0,7.0,0.0,1.0
EFHD2,67.0,71.0,312.0,8.0,669.0,216.0,12.0,11.0,4.0
CASP9,10.0,24.0,30.0,11.0,27.0,3.0,5.0,4.0,0.0
DNAJC16,22.0,34.0,114.0,10.0,19.0,12.0,12.0,1.0,0.0
AGMAT,0.0,4.0,7.0,85.0,0.0,3.0,0.0,3.0,12.0
DDI2,24.0,40.0,82.0,31.0,34.0,6.0,11.0,0.0,5.0
PLEKHM2,62.0,76.0,207.0,66.0,105.0,9.0,17.0,8.0,5.0
SLC25A34,2.0,3.0,5.0,70.0,6.0,0.0,0.0,1.0,3.0
FBLIM1,51.0,11.0,88.0,8.0,21.0,0.0,10.0,0.0,0.0
UQCRHL,2.0,3.0,4.0,9.0,2.0,2.0,0.0,0.0,1.0
AL450998.2,61.0,51.0,169.0,53.0,53.0,9.0,16.0,0.0,5.0
SPEN,162.0,140.0,448.0,25.0,165.0,55.0,39.0,4.0,9.0
ZBTB17,19.0,24.0,60.0,13.0,18.0,6.0,6.0,3.0,5.0
HSPB7,12.0,9.0,30.0,1156.0,17.0,0.0,2.0,0.0,68.0
EPHA2,59.0,25.0,222.0,5.0,16.0,1.0,14.0,1.0,1.0
ARHGEF19,9.0,18.0,61.0,0.0,9.0,2.0,4.0,1.0,0.0
FBXO42,32.0,50.0,96.0,19.0,32.0,14.0,9.0,0.0,6.0
SZRD1,95.0,99.0,318.0,84.0,133.0,53.0,30.0,10.0,10.0
NECAP2,82.0,120.0,359.0,32.0,144.0,36.0,20.0,4.0,2.0
LINC01772,3.0,6.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0
NBPF1,9.0,40.0,63.0,9.0,9.0,6.0,4.0,1.0,0.0
CROCC,22.0,86.0,63.0,3.0,10.0,12.0,9.0,0.0,2.0
BX284668.5,11.0,29.0,31.0,19.0,35.0,4.0,3.0,0.0,3.0
BX284668.6,4.0,11.0,16.0,1.0,3.0,2.0,1.0,0.0,2.0
MFAP2,0.0,40.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP13A2,34.0,24.0,176.0,4.0,26.0,5.0,8.0,3.0,1.0
SDHB,120.0,234.0,479.0,599.0,156.0,42.0,51.0,6.0,35.0
PADI2,2.0,1.0,6.0,97.0,17.0,0.0,0.0,0.0,7.0
PADI4,1.0,0.0,0.0,0.0,46.0,1.0,0.0,1.0,0.0
RCC2,34.0,45.0,154.0,2.0,102.0,24.0,11.0,9.0,0.0
ARHGEF10L,5.0,19.0,5.0,55.0,37.0,0.0,7.0,0.0,6.0
IGSF21,0.0,50.0,2.0,3.0,25.0,0.0,0.0,0.0,0.0
PAX7,5.0,25.0,14.0,4.0,1.0,1.0,187.0,0.0,0.0
ALDH4A1,13.0,2.0,36.0,20.0,9.0,0.0,0.0,0.0,1.0
IFFO2,15.0,18.0,49.0,3.0,24.0,9.0,5.0,2.0,1.0
UBR4,91.0,115.0,298.0,24.0,135.0,28.0,14.0,8.0,2.0
AL035413.1,2.0,19.0,15.0,4.0,7.0,1.0,1.0,0.0,0.0
EMC1,23.0,79.0,102.0,7.0,37.0,8.0,10.0,3.0,0.0
MRTO4,35.0,99.0,189.0,36.0,32.0,16.0,27.0,5.0,2.0
AKR7A2,94.0,355.0,390.0,219.0,89.0,37.0,72.0,9.0,23.0
PQLC2,0.0,19.0,28.0,8.0,10.0,1.0,4.0,0.0,1.0
CAPZB,379.0,573.0,1420.0,239.0,533.0,163.0,78.0,46.0,27.0
MINOS1,290.0,497.0,966.0,582.0,352.0,106.0,97.0,29.0,41.0
NBL1,259.0,521.0,1349.0,44.0,87.0,9.0,35.0,1.0,4.0
TMCO4,15.0,31.0,42.0,2.0,18.0,8.0,4.0,1.0,0.0
OTUD3,11.0,42.0,69.0,9.0,4.0,5.0,6.0,3.0,0.0
PLA2G2A,0.0,64.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMK2N1,402.0,981.0,1367.0,91.0,105.0,14.0,143.0,0.0,5.0
MUL1,38.0,66.0,134.0,45.0,8.0,5.0,19.0,2.0,3.0
FAM43B,1.0,112.0,6.0,3.0,1.0,1.0,2.0,0.0,0.0
CDA,27.0,100.0,82.0,12.0,146.0,0.0,1.0,0.0,1.0
PINK1,172.0,256.0,512.0,583.0,55.0,12.0,46.0,7.0,53.0
DDOST,84.0,339.0,334.0,39.0,121.0,62.0,36.0,16.0,2.0
KIF17,35.0,14.0,157.0,5.0,9.0,0.0,3.0,0.0,1.0
HP1BP3,320.0,582.0,1243.0,150.0,280.0,134.0,141.0,24.0,18.0
EIF4G3,75.0,106.0,301.0,41.0,93.0,23.0,40.0,6.0,3.0
ECE1,276.0,279.0,915.0,29.0,128.0,21.0,52.0,7.0,1.0
NBPF3,10.0,3.0,31.0,2.0,3.0,1.0,1.0,1.0,0.0
ALPL,82.0,4.0,28.0,0.0,4.0,0.0,0.0,0.0,0.0
USP48,105.0,177.0,321.0,40.0,112.0,27.0,33.0,10.0,8.0
LDLRAD2,2.0,25.0,20.0,1.0,1.0,0.0,2.0,0.0,0.0
HSPG2,576.0,2916.0,4299.0,150.0,247.0,25.0,167.0,4.0,15.0
CDC42,709.0,1092.0,2977.0,346.0,1073.0,340.0,217.0,71.0,33.0
ZBTB40,26.0,30.0,66.0,3.0,21.0,8.0,4.0,1.0,1.0
C1QA,2.0,9.0,33.0,21.0,721.0,0.0,8.0,0.0,6.0
C1QC,0.0,4.0,17.0,4.0,262.0,0.0,1.0,0.0,2.0
C1QB,0.0,4.0,13.0,18.0,425.0,1.0,2.0,0.0,0.0
EPHB2,0.0,6.0,3.0,0.0,18.0,0.0,1.0,0.0,0.0
KDM1A,46.0,85.0,166.0,32.0,55.0,17.0,16.0,6.0,4.0
LUZP1,215.0,149.0,796.0,27.0,75.0,49.0,45.0,2.0,4.0
LINC01355,6.0,14.0,11.0,0.0,4.0,1.0,5.0,2.0,0.0
HNRNPR,299.0,408.0,1105.0,97.0,289.0,125.0,124.0,30.0,19.0
ZNF436,9.0,52.0,70.0,5.0,7.0,2.0,9.0,1.0,1.0
